date,county,latitude,longitude,rainfall_mm,temp_max_c,temp_min_c,temp_avg_c,evapotranspiration_mm,wind_speed_kmh,data_source
2024-01-01,Baringo,0.81,35.9,4.6,31.7,19.7,25.7,5.01,11.4,open-meteo-archive
2024-01-02,Baringo,0.81,35.9,1.3,31.3,19.5,25.4,5.45,13.3,open-meteo-archive
2024-01-03,Baringo,0.81,35.9,0.0,32.0,20.6,26.3,5.76,13.5,open-meteo-archive
2024-01-04,Baringo,0.81,35.9,0.0,33.5,20.3,26.9,6.08,14.6,open-meteo-archive
2024-01-05,Baringo,0.81,35.9,0.0,33.5,20.8,27.15,5.83,10.9,open-meteo-archive
2024-01-06,Baringo,0.81,35.9,0.4,33.0,21.1,27.05,5.62,13.3,open-meteo-archive
2024-01-07,Baringo,0.81,35.9,0.3,33.6,21.5,27.55,5.74,11.3,open-meteo-archive
2024-01-08,Baringo,0.81,35.9,0.1,33.4,21.2,27.3,5.95,13.0,open-meteo-archive
2024-01-09,Baringo,0.81,35.9,0.4,33.4,21.2,27.3,6.12,11.8,open-meteo-archive
2024-01-10,Baringo,0.81,35.9,0.1,32.4,21.2,26.8,5.54,17.1,open-meteo-archive
2024-01-11,Baringo,0.81,35.9,0.0,31.3,22.0,26.65,3.66,13.8,open-meteo-archive
2024-01-12,Baringo,0.81,35.9,0.0,33.8,21.5,27.65,5.75,12.5,open-meteo-archive
2024-01-13,Baringo,0.81,35.9,6.2,29.4,20.3,24.85,3.24,10.2,open-meteo-archive
2024-01-14,Baringo,0.81,35.9,1.7,33.0,20.0,26.5,5.12,14.7,open-meteo-archive
2024-01-15,Baringo,0.81,35.9,0.1,34.0,19.4,26.7,5.88,15.3,open-meteo-archive
2024-01-16,Baringo,0.81,35.9,0.2,33.8,19.2,26.5,5.73,13.5,open-meteo-archive
2024-01-17,Baringo,0.81,35.9,0.5,32.8,20.2,26.5,5.14,12.6,open-meteo-archive
2024-01-18,Baringo,0.81,35.9,6.3,28.9,19.7,24.3,3.84,14.0,open-meteo-archive
2024-01-19,Baringo,0.81,35.9,1.9,31.3,19.4,25.35,5.4,13.7,open-meteo-archive
2024-01-20,Baringo,0.81,35.9,13.1,29.7,19.5,24.6,4.53,16.1,open-meteo-archive
2024-01-21,Baringo,0.81,35.9,4.5,29.5,19.9,24.7,3.96,12.5,open-meteo-archive
2024-01-22,Baringo,0.81,35.9,0.6,31.6,19.6,25.6,5.28,10.5,open-meteo-archive
2024-01-23,Baringo,0.81,35.9,0.0,33.3,19.8,26.55,5.76,14.9,open-meteo-archive
2024-01-24,Baringo,0.81,35.9,0.0,34.1,18.1,26.1,6.12,13.2,open-meteo-archive
2024-01-25,Baringo,0.81,35.9,0.0,34.5,19.0,26.75,6.48,15.3,open-meteo-archive
2024-01-26,Baringo,0.81,35.9,0.0,34.4,21.7,28.05,6.26,14.8,open-meteo-archive
2024-01-27,Baringo,0.81,35.9,0.0,33.9,20.9,27.4,6.12,16.3,open-meteo-archive
2024-01-28,Baringo,0.81,35.9,0.0,33.9,21.6,27.75,6.11,14.6,open-meteo-archive
2024-01-29,Baringo,0.81,35.9,0.0,34.0,21.3,27.65,6.46,16.4,open-meteo-archive
2024-01-30,Baringo,0.81,35.9,0.0,34.8,20.9,27.85,6.75,15.1,open-meteo-archive
2024-01-31,Baringo,0.81,35.9,0.0,35.5,20.8,28.15,6.68,19.8,open-meteo-archive
2024-02-01,Baringo,0.81,35.9,0.0,33.2,20.4,26.8,6.13,16.7,open-meteo-archive
2024-02-02,Baringo,0.81,35.9,0.0,32.8,20.8,26.8,4.86,11.2,open-meteo-archive
2024-02-03,Baringo,0.81,35.9,0.1,34.2,21.7,27.95,6.31,20.9,open-meteo-archive
2024-02-04,Baringo,0.81,35.9,0.0,34.8,22.2,28.5,5.97,17.7,open-meteo-archive
2024-02-05,Baringo,0.81,35.9,0.0,33.0,21.4,27.2,6.03,15.6,open-meteo-archive
2024-02-06,Baringo,0.81,35.9,0.0,33.2,18.5,25.85,5.68,16.7,open-meteo-archive
2024-02-07,Baringo,0.81,35.9,0.0,34.7,21.5,28.1,5.93,19.8,open-meteo-archive
2024-02-08,Baringo,0.81,35.9,0.9,33.0,21.7,27.35,5.92,12.6,open-meteo-archive
2024-02-09,Baringo,0.81,35.9,0.2,34.4,20.9,27.65,6.37,14.3,open-meteo-archive
2024-02-10,Baringo,0.81,35.9,0.4,34.4,19.9,27.15,6.47,16.9,open-meteo-archive
2024-02-11,Baringo,0.81,35.9,0.8,34.5,20.9,27.7,6.33,14.5,open-meteo-archive
2024-02-12,Baringo,0.81,35.9,0.0,34.5,19.1,26.8,6.45,13.4,open-meteo-archive
2024-02-13,Baringo,0.81,35.9,0.0,34.5,22.0,28.25,6.32,12.5,open-meteo-archive
2024-02-14,Baringo,0.81,35.9,0.0,35.0,20.9,27.95,6.27,12.4,open-meteo-archive
2024-02-15,Baringo,0.81,35.9,0.0,34.7,20.8,27.75,6.91,16.0,open-meteo-archive
2024-02-16,Baringo,0.81,35.9,0.0,34.8,22.2,28.5,6.06,13.2,open-meteo-archive
2024-02-17,Baringo,0.81,35.9,0.0,35.2,19.9,27.55,6.72,16.3,open-meteo-archive
2024-02-18,Baringo,0.81,35.9,0.0,35.2,21.8,28.5,6.93,17.1,open-meteo-archive
2024-02-19,Baringo,0.81,35.9,0.0,35.6,21.9,28.75,6.45,15.3,open-meteo-archive
2024-02-20,Baringo,0.81,35.9,0.0,34.3,19.8,27.05,6.22,12.5,open-meteo-archive
2024-02-21,Baringo,0.81,35.9,0.0,35.6,21.7,28.65,6.18,19.6,open-meteo-archive
2024-02-22,Baringo,0.81,35.9,0.0,34.2,22.5,28.35,5.74,17.8,open-meteo-archive
2024-02-23,Baringo,0.81,35.9,0.0,32.9,20.1,26.5,5.75,18.8,open-meteo-archive
2024-02-24,Baringo,0.81,35.9,0.7,30.4,20.5,25.45,4.48,11.9,open-meteo-archive
2024-02-25,Baringo,0.81,35.9,0.0,35.1,19.0,27.05,6.8,16.1,open-meteo-archive
2024-02-26,Baringo,0.81,35.9,0.0,35.8,19.9,27.85,6.41,14.3,open-meteo-archive
2024-02-27,Baringo,0.81,35.9,3.2,34.8,21.4,28.1,5.85,19.1,open-meteo-archive
2024-02-28,Baringo,0.81,35.9,3.0,28.4,19.7,24.05,4.27,13.0,open-meteo-archive
2024-02-29,Baringo,0.81,35.9,1.9,31.7,18.3,25.0,5.46,14.0,open-meteo-archive
2024-03-01,Baringo,0.81,35.9,0.4,32.4,18.4,25.4,5.77,12.6,open-meteo-archive
2024-03-02,Baringo,0.81,35.9,0.0,32.6,21.0,26.8,5.99,10.6,open-meteo-archive
2024-03-03,Baringo,0.81,35.9,0.0,33.8,19.2,26.5,6.18,10.5,open-meteo-archive
2024-03-04,Baringo,0.81,35.9,0.1,34.7,20.5,27.6,6.44,14.7,open-meteo-archive
2024-03-05,Baringo,0.81,35.9,0.1,34.0,19.0,26.5,6.03,14.1,open-meteo-archive
2024-03-06,Baringo,0.81,35.9,0.0,35.6,21.4,28.5,6.5,21.1,open-meteo-archive
2024-03-07,Baringo,0.81,35.9,0.0,34.7,20.1,27.4,6.46,14.8,open-meteo-archive
2024-03-08,Baringo,0.81,35.9,0.0,34.9,19.2,27.05,6.64,14.9,open-meteo-archive
2024-03-09,Baringo,0.81,35.9,0.1,34.8,21.5,28.15,6.12,15.9,open-meteo-archive
2024-03-10,Baringo,0.81,35.9,0.0,34.2,22.7,28.45,6.6,14.5,open-meteo-archive
2024-03-11,Baringo,0.81,35.9,0.0,35.2,19.5,27.35,6.33,19.8,open-meteo-archive
2024-03-12,Baringo,0.81,35.9,0.0,35.3,21.5,28.4,7.04,14.4,open-meteo-archive
2024-03-13,Baringo,0.81,35.9,0.0,36.3,22.2,29.25,6.68,14.1,open-meteo-archive
2024-03-14,Baringo,0.81,35.9,0.0,35.9,22.4,29.15,6.78,16.0,open-meteo-archive
